team,type,subtype,session,start_frame,start_time,end_frame,end_time,from,to,start_x,start_y,end_x,end_y,phase
Home,PASS,PASS,1,4674,467.4,4682,468.2,A10,A05,0.3,0.5,0.33,0.44,1
Home,PASS,PASS,1,4689,468.9,4698,469.8,A05,A09,0.31,0.44,0.21,0.39,1
Home,PASS,PASS,1,4724,472.4,4754,475.4,A09,A08,0.19,0.49,0.13,0.87,1
Home,PASS,PASS,1,4784,478.4,4791,479.1,A08,A09,0.11,0.86,0.1,0.72,1
Home,PASS,PASS,1,4791,479.1,4798,479.8,A09,A08,0.1,0.72,0.14,0.8,1
Home,PASS,PASS,1,4828,482.8,4859,485.9,A08,A01,0.23,0.61,0.15,0.15,1
Home,PASS,CROSS,1,4872,487.2,4881,488.1,A01,A10,0.12,0.21,0.05,0.55,1
Home,SHOT,ON TARGET-GOAL,1,4881,488.1,4885,488.5,A10,,0.05,0.55,-0.01,0.53,1
Away,SET PIECE,KICK OFF,1,5521,552.1,5521,552.1,B24,,,,,,1
Away,PASS,PASS,1,5521,552.1,5532,553.2,B24,B20,0.5,0.5,0.4,0.44,1
Away,PASS,PASS,1,5613,561.3,5628,562.8,B20,B16,0.45,0.43,0.39,0.66,1
Away,PASS,PASS,1,5650,565.0,5669,566.9,B16,B15,0.44,0.76,0.6,0.98,1
Away,PASS,PASS,1,5676,567.6,5694,569.4,B15,B19,0.62,0.99,0.75,0.86,1
Home,CHALLENGE,TACKLE-WON,1,5698,569.8,5698,569.8,A06,,0.76,0.85,,,1
Home,RECOVERY,THEFT,1,5698,569.8,5698,569.8,A06,,0.76,0.85,,,1
Away,BALL LOST,THEFT,1,5698,569.8,5698,569.8,B19,,0.76,0.87,,,1
Home,PASS,PASS,1,5712,571.2,5718,571.8,A06,A04,0.8,0.94,0.85,0.9,1
Home,PASS,PASS,1,5718,571.8,5728,572.8,A04,A07,0.85,0.9,0.78,0.86,1
Home,PASS,PASS,1,5736,573.6,5747,574.7,A07,A04,0.78,0.86,0.88,0.91,1
Home,PASS,PASS,1,5779,577.9,5789,578.9,A04,A06,0.83,0.89,0.79,0.97,1
Away,CHALLENGE,TACKLE-WON,1,5819,581.9,5819,581.9,B19,,0.7,0.96,,,1
Away,RECOVERY,THEFT,1,5819,581.9,5819,581.9,B19,,0.7,0.96,,,1
Away,BALL OUT,BALL OUT,1,5819,581.9,5829,582.9,B19,,0.7,0.96,0.64,1.01,1
Home,CHALLENGE,TACKLE-LOST,1,5820,582.0,5820,582.0,A06,,0.7,0.98,,,1
Home,BALL LOST,THEFT,1,5820,582.0,5820,582.0,A06,,0.7,0.98,,,1
Home,SET PIECE,THROW IN,1,5938,593.8,5938,593.8,A04,,,,,,1
Home,PASS,PASS,1,5938,593.8,5961,596.1,A04,A03,0.65,1.01,0.83,0.83,1
Home,PASS,PASS,1,5969,596.9,5989,598.9,A03,A11,0.84,0.81,0.96,0.49,1
Home,BALL LOST,INTERCEPTION,1,6010,601.0,6039,603.9,A11,,0.98,0.37,0.59,0.03,1
Away,RECOVERY,INTERCEPTION,1,6038,603.8,6038,603.8,B18,,0.58,0.07,,,1
Away,BALL LOST,INTERCEPTION,1,6038,603.8,6060,606.0,B18,,0.58,0.07,0.68,0.06,1
Home,CHALLENGE,GROUND-WON,1,6059,605.9,6059,605.9,A05,,0.68,0.13,,,1
